Product_ID,Title,Link,Category,Label_Trend,Label_Marketing,Rating,Sold,Original_Price,Current_Price,Discount_Percent
1731927858707531654,"Set bộ ba lỗ, dây mix quần suông bồng bí, 3 màu đen, vàng, ghi",https://www.tiktok.com/shop/vn/pdp/set-bo-ba-lo-herla-quan-suong-bong-bi-3-mau-vang-%C4%91en-ghi/1731927858707531654,Womenswear & Underwear,Xu hướng,Deal,4.7,64.5K,199.000₫,139.000,-30%
1732438166940714118,"(Combo 3 lẻ 1)Áo Lót Nữ Đúc Su Mút Dày 3-5CM Không Gọng Mềm Mại Thoải Mái Nâng Đẩy Vòng 1, Áo Ngực Tạo Khe Cao Cấp Sexy Chipmum A12",https://www.tiktok.com/shop/vn/pdp/ao-lot-nu-%C4%91uc-su-mut-day-3-5cm-khong-gong-nang-%C4%91ay-vong-1/1732438166940714118,Womenswear & Underwear,Xu hướng,Flash Sale,4.6,29.5K,58.000₫,46.400,-20%
1731454375664781976,"Áo Nỉ Hoodie Sweater Cổ V CENLILI ,Form Rộng Dãi Ép Chữ Siêu Xinh AN778 Women Nữ Top Voi Nhung Voan",https://www.tiktok.com/shop/vn/pdp/ao-ni-hoodie-sweater-co-v-cenlili-form-rong-dai-chat-lieu-ni-mong-danh-cho-nu/1731454375664781976,Womenswear & Underwear,Xu hướng,Deal,4.7,617,245.000₫,179.000,-27%
1732471996134884547,Áo Dài Gấm Thọ Dơi Dáng Xuông Tay Loe vải mềm mại thướt tha đủ 9 màu sắc hot trend mặc Tết 2025 đi chơi đi tiệc đi du xuân đều hợp,https://www.tiktok.com/shop/vn/pdp/ao-dai-gam-tho-doi-dang-suong-8-mau-sac-hotrend-tet-2026/1732471996134884547,Womenswear & Underwear,Không,Deal,4.9,47.9K,239.000₫,158.000,-34%
1733424157603955929,"[MT-01] COMBO 5-10 QUẦN LÓT NỮ SU LỤA Quần 2 lơ chất su lụa loại 1 đẹp, điều hòa mặc siêu mát, chất mềm mại co dãn 4 chiều.",https://www.tiktok.com/shop/vn/pdp/1733424157603955929,Womenswear & Underwear,Không,Flash Sale,4.9,6.8K,169.000₫,84.500,-50%
1731832264892844421,Combo 10 (có tách lẻ 5 quần) Quần Lót Ren Sexy Chất Ren Thái Mềm Mịn Không Gây Kích Ứng Da Freesize (40-62kg) RETHAI,https://www.tiktok.com/shop/vn/pdp/combo-10-ren-sexy-rethai-chat-ren-thai-mem-min-freesize-40-62kg/1731832264892844421,Womenswear & Underwear,Không,Deal,4.4,5.5K,60.000₫,40.000,-33%
1729450704460417474,(Deal mở bán) Áo phông cotton 4chiều lạnh - in pét BỌT BIỂN (new) có size 35-68kg,https://www.tiktok.com/shop/vn/pdp/ao-phong-nu-co-gian-4-chieu-dang-rong-thoai-mai-cho-vong-eo-nhe/1729450704460417474,Womenswear & Underwear,Không,Flash Sale,4.7,3.4K,150.000₫,89.999,-40%
1732118564684399723,"[CÓ KHOÁ KÉO PHÍA SAU] Chân váy nữ vải Lông Thỏ phong cách Y2K, Chân váy nữ chữ A có lót trong dáng ngắn DAZZI V03",https://www.tiktok.com/shop/vn/pdp/chan-vay-nu-chu-a-phong-cach-y2k-dazzi-chat-lieu-len-long-tho-nhieu-mau-sac-co-lot-trong-size-s-m-l/1732118564684399723,Womenswear & Underwear,Xu hướng,Deal,4.8,345.8K,150.000₫,99.990,-33%
1730055749947198229,"￼Áo ngực Nữ bigsize Thái Lan Cup C (quả to) , áo lót quả to có gọng không đệm mã 2472 Women Bra - Tết - Xmas cup c",https://www.tiktok.com/shop/vn/pdp/ao-big-size-thai-lan-cup-c-thoai-mai-thoi-trang/1730055749947198229,Womenswear & Underwear,Không,Flash Sale,4.8,45.9K,140.000₫,83.200,-41%
1732172215233447386,Chân Váy Ngắn Basic Mini Skirt Vải Umi Han Trọn Phong Cách Y2k Siêu Ngắn Nữ Women Chân Váy Đen Công Sở Dáng A Co Dãn 4 Chiều Kèm Lót Trong Size S M L XL 2XL,https://www.tiktok.com/shop/vn/pdp/chan-vay-mini-y2k-sieu-ngan-dang-a-co-gian-4-chieu-mau-%C4%91en-trang/1732172215233447386,Womenswear & Underwear,Không,Không,4.7,9.3K,73.000₫,59.000,-19%
